"Arrival_time","Airline_Code","Airline","Origin_Airport","Origin_Code","Origin_City","Flight_Code","Duration"
"00:05","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E164","1h 35m"
"00:05","IX","Air India Express","Lucknow","LKO","Lucknow","IX1542","2h 40m"
"00:10","6E","IndiGo","Varanasi","VNS","Varanasi","6E499","3h 0m"
"00:10","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX623","5h 45m"
"00:10","SG","SpiceJet","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","SG669","2h 10m"
"00:15","JL","JAL","Narita International Airport","NRT","Tokyo","JL753","8h 50m"
"00:20","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5388","2h 0m"
"00:20","IX","Air India Express","Calicut","CCJ","Kozhikode","IX5504","1h 10m"
"00:25","9I","Alliance Air","Goa","GOI","Goa","9I548","1h 35m"
"00:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2412","2h 55m"
"00:30","LH","Lufthansa","Munich Airport","MUC","Munich","LH764","8h 55m"
"00:35","IX","Air India Express","Mangalore","IXE","Mangalore","IX5502","1h 10m"
"00:35","IX","Air India Express","Nagpur","NAG","Nagpur","IX1379","1h 50m"
"00:40","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E573","2h 40m"
"00:40","BA","British Airways","Heathrow","LHR","London","BA131","10h 10m"
"00:45","IX","Air India Express","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","IX1382","2h 40m"
"00:45","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1350","2h 50m"
"00:55","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E846","2h 55m"
"01:00","6E","IndiGo","Lucknow","LKO","Lucknow","6E906","2h 40m"
"01:00","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX5915","2h 55m"
"01:10","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E996","2h 25m"
"01:15","SG","SpiceJet","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","SG559","2h 10m"
"01:20","LH","Lufthansa","Frankfurt Airport","FRA","Frankfurt","LH754","9h 0m"
"01:30","6E","IndiGo","Pune","PNQ","Pune","6E6055","1h 40m"
"01:40","IX","Air India Express","Pune","PNQ","Pune","IX2681","1h 35m"
"01:55","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1812","3h 0m"
"02:20","UL","SriLankan Airlines","Bandaranaike International","CMB","Colombo","UL173","1h 25m"
"02:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E871","2h 55m"
"02:30","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX1070","2h 55m"
"02:30","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR572","4h 25m"
"02:50","EK","Emirates","Dubai International Airport","DXB","Dubai","EK568","4h 5m"
"02:55","6E","IndiGo","Pune","PNQ","Pune","6E361","1h 40m"
"03:00","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU353","5h 15m"
"03:05","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5323","1h 55m"
"03:10","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2757","2h 55m"
"03:15","6E","IndiGo","Hamad International Airport","DOH","Doha","6E1302","4h 25m"
"03:15","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY232","4h 10m"
"03:45","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9496","4h 5m"
"03:50","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1486","4h 15m"
"04:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6054","2h 55m"
"04:10","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2812","2h 5m"
"04:40","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E6284","1h 55m"
"04:50","BA","British Airways","Heathrow","LHR","London","BA119","10h 20m"
"04:55","6E","IndiGo","Pune","PNQ","Pune","6E6564","1h 40m"
"04:55","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF282","5h 0m"
"05:10","IX","Air India Express","Dubai International Airport","DXB","Dubai","IX920","4h 15m"
"05:55","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E820","2h 55m"
"06:05","6E","IndiGo","Zayed International Airport","AUH","Abu Dhabi","6E1409","4h 5m"
"06:10","VS","Virgin Atlantic","Heathrow","LHR","London","VS316","10h 0m"
"06:25","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5294","1h 55m"
"06:35","6E","IndiGo","Pune","PNQ","Pune","6E6877","1h 35m"
"07:10","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1901","2h 20m"
"07:20","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2653","2h 50m"
"07:35","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2845","2h 5m"
"07:40","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1248","4h 30m"
"07:50","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E413","1h 20m"
"07:50","IX","Air India Express","Chennai International","MAA","Chennai","IX2975","1h 25m"
"07:55","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2934","1h 35m"
"08:00","IX","Air India Express","Navi Mumbai International Airport","NMI","Mumbai","IX1347","1h 40m"
"08:05","6E","IndiGo","Chennai International","MAA","Chennai","6E6081","1h 0m"
"08:10","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX2780","2h 10m"
"08:20","6E","IndiGo","Cochin","COK","Kochi","6E6482","1h 15m"
"08:25","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5296","1h 55m"
"08:25","IX","Air India Express","Cochin","COK","Kochi","IX1692","1h 15m"
"08:25","IX","Air India Express","Thiruvananthapuram International","TRV","Thiruvananthapuram","IX2980","1h 15m"
"08:30","6E","IndiGo","Pune","PNQ","Pune","6E391","1h 50m"
"08:35","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E2085","1h 25m"
"08:35","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2603","2h 0m"
"08:40","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E2314","2h 55m"
"08:40","QP","Akasa Air","Zayed International Airport","AUH","Abu Dhabi","QP591","4h 10m"
"08:50","EK","Emirates","Dubai International Airport","DXB","Dubai","EK564","4h 0m"
"09:00","QP","Akasa Air","Navi Mumbai International Airport","NMI","Mumbai","QP2001","1h 45m"
"09:05","QP","Akasa Air","Pune","PNQ","Pune","QP1312","1h 40m"
"09:10","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E771","2h 40m"
"09:10","IX","Air India Express","King Abdulaziz International Airport","JED","Jeddah","IX942","6h 10m"
"09:20","6E","IndiGo","Calicut","CCJ","Kozhikode","6E153","1h 5m"
"09:20","6E","IndiGo","Goa","GOI","Goa","6E249","1h 25m"
"09:25","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E701","2h 5m"
"09:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2803","2h 55m"
"09:25","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2019","1h 20m"
"09:30","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E475","1h 0m"
"09:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E151","1h 25m"
"09:30","S5","Star Air","Bidar Airport","IXX","Bidar","S5160","1h 15m"
"09:35","6E","IndiGo","Hubli Airport","HBX","Hubli","6E7233","1h 25m"
"09:40","6E","IndiGo","Lucknow","LKO","Lucknow","6E231","2h 35m"
"09:40","6E","IndiGo","Tiruchirappalli","TRZ","Tiruchirappalli","6E7245","1h 15m"
"09:45","IX","Air India Express","Vishakhapatnam","VTZ","Vishakhapatnam","IX2065","1h 45m"
"09:50","6E","IndiGo","Mangalore","IXE","Mangalore","6E542","1h 5m"
"09:55","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5193","1h 50m"
"09:55","IX","Air India Express","Chandigarh","IXC","Chandigarh","IX1062","3h 15m"
"10:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E810","2h 55m"
"10:05","6E","IndiGo","Chennai International","MAA","Chennai","6E6815","1h 10m"
"10:05","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2851","2h 10m"
"10:10","IX","Air India Express","Chennai International","MAA","Chennai","IX1385","1h 10m"
"10:15","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1214","3h 40m"
"10:15","IX","Air India Express","Vijayawada","VGA","Vijayawada","IX1506","1h 15m"
"10:20","6E","IndiGo","Madurai","IXM","Madurai","6E7257","1h 20m"
"10:30","6E","IndiGo","Thiruvananthapuram International","TRV","Thiruvananthapuram","6E661","1h 20m"
"10:35","6E","IndiGo","Vijayawada","VGA","Vijayawada","6E7203","1h 55m"
"10:40","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ508","4h 30m"
"10:45","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E823","2h 25m"
"10:45","6E","IndiGo","Bhopal","BHO","Bhopal","6E393","2h 5m"
"10:45","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX2405","1h 25m"
"10:55","6E","IndiGo","Cochin","COK","Kochi","6E6535","1h 15m"
"10:55","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6066","1h 20m"
"11:00","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E496","2h 40m"
"11:00","6E","IndiGo","Jaipur","JAI","Jaipur","6E6142","2h 25m"
"11:00","QP","Akasa Air","Bhubaneshwar","BBI","Bhubaneswar","QP1512","2h 15m"
"11:05","6E","IndiGo","Birsa Munda","IXR","Ranchi","6E6799","2h 25m"
"11:10","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E873","2h 50m"
"11:10","IC","Fly91","Sindhudurg Airport","SDW","Malvan","IC5301","1h 50m"
"11:15","IX","Air India Express","Gwalior","GWL","Gwalior","IX2362","2h 40m"
"11:20","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI427","2h 50m"
"11:35","IX","Air India Express","Cochin","COK","Kochi","IX1894","1h 10m"
"11:50","6E","IndiGo","Raipur","RPR","Raipur","6E406","1h 55m"
"11:55","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5092","2h 5m"
"11:55","IX","Air India Express","Calicut","CCJ","Kozhikode","IX1546","1h 10m"
"11:55","IX","Air India Express","Chennai International","MAA","Chennai","IX2971","1h 5m"
"12:00","6E","IndiGo","Chennai International","MAA","Chennai","6E6892","1h 5m"
"12:00","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX1244","2h 25m"
"12:05","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2863","2h 5m"
"12:10","6E","IndiGo","Nagpur","NAG","Nagpur","6E6864","1h 45m"
"12:10","QP","Akasa Air","Lucknow","LKO","Lucknow","QP1502","2h 40m"
"12:10","S5","Star Air","Jindal Airport","VDY","Vijaynagar","S5702","0h 50m"
"12:15","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E703","2h 10m"
"12:15","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E6542","3h 20m"
"12:15","6E","IndiGo","Udaipur","UDR","Udaipur","6E412","2h 25m"
"12:20","IX","Air India Express","Bagdogra","IXB","Bagdogra","IX2462","3h 0m"
"12:25","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E826","2h 55m"
"12:25","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2415","2h 55m"
"12:35","6E","IndiGo","Mangalore","IXE","Mangalore","6E6161","1h 5m"
"12:45","6E","IndiGo","King Abdulaziz International Airport","JED","Jeddah","6E78","6h 5m"
"12:45","IX","Air India Express","Rajiv Gandhi International Airport","HYD","Hyderabad","IX1407","1h 30m"
"12:50","IX","Air India Express","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","IX1496","2h 40m"
"12:55","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5217","1h 55m"
"12:55","VS","Virgin Atlantic","Heathrow","LHR","London","VS346","10h 0m"
"13:00","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E386","2h 45m"
"13:05","6E","IndiGo","Bandaranaike International","CMB","Colombo","6E1168","1h 35m"
"13:10","6E","IndiGo","Lucknow","LKO","Lucknow","6E325","2h 40m"
"13:10","6E","IndiGo","Navi Mumbai International Airport","NMI","Mumbai","6E6029","1h 45m"
"13:15","6E","IndiGo","Cochin","COK","Kochi","6E196","1h 15m"
"13:15","AI","Air India","Heathrow","LHR","London","AI132","10h 35m"
"13:20","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX2749","2h 55m"
"13:20","QP","Akasa Air","Varanasi","VNS","Varanasi","QP1422","2h 45m"
"13:30","6E","IndiGo","Madurai","IXM","Madurai","6E7528","1h 35m"
"13:35","6E","IndiGo","Mopa Airport","GOX","Goa","6E6584","1h 20m"
"13:35","6E","IndiGo","Thiruvananthapuram International","TRV","Thiruvananthapuram","6E6428","1h 15m"
"13:40","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E842","2h 55m"
"13:45","IX","Air India Express","Ahmedabad Airport","AMD","Ahmedabad","IX1508","2h 25m"
"13:50","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1903","2h 35m"
"13:50","QP","Akasa Air","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","QP1508","3h 25m"
"14:05","6E","IndiGo","Patna","PAT","Patna","6E805","2h 30m"
"14:05","AI","Air India","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","AI2632","2h 5m"
"14:05","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1216","2h 15m"
"14:10","QP","Akasa Air","Bagdogra","IXB","Bagdogra","QP1373","3h 15m"
"14:15","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY236","4h 5m"
"14:20","WY","Oman Air","Seeb International","MCT","Muscat","WY283","3h 40m"
"14:25","6E","IndiGo","Chhatrapati Shivaji Maharaj International Airport","BOM","Mumbai","6E5184","1h 55m"
"14:25","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E235","2h 40m"
"14:25","6E","IndiGo","Varanasi","VNS","Varanasi","6E6559","2h 30m"
"14:35","6E","IndiGo","Bagdogra","IXB","Bagdogra","6E445","2h 55m"
"14:35","6E","IndiGo","Thiruvananthapuram International","TRV","Thiruvananthapuram","6E6147","1h 20m"
"14:35","6E","IndiGo","Vijayawada","VGA","Vijayawada","6E7072","1h 40m"
"14:40","6E","IndiGo","Amritsar","ATQ","Amritsar","6E478","3h 20m"
"14:40","6E","IndiGo","Phuket International Airport","HKT","Phuket","6E1076","3h 25m"
"14:40","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX1530","2h 25m"
"14:50","6E","IndiGo","Kolhapur","KLH","Kolhapur","6E7448","1h 45m"
