"Departure_Time","Airline_Code","Airline","Destination_Airport","Destination_Code","Destination_City","Flight_Code","Duration"
"00:15","6E","IndiGo","King Abdulaziz International Airport","JED","Jeddah","6E91","5h 25m"
"00:30","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6187","1h 40m"
"00:35","QP","Akasa Air","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","QP1135","2h 45m"
"00:40","LX","SWISS","Zurich Airport","ZRH","Zurich","LX155","9h 10m"
"00:40","VJ","VietJet","Noibai International","HAN","Hanoi","VJ910","5h 0m"
"00:45","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1049","4h 40m"
"00:55","VZ","Vietjet Thailand","Suvarnabhumi Airport","BKK","Bangkok","VZ761","4h 25m"
"01:05","6E","IndiGo","Zayed International Airport","AUH","Abu Dhabi","6E1413","3h 10m"
"01:10","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5323","1h 55m"
"01:20","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1339","5h 55m"
"01:20","AF","Air France","Charles De Gaulle","CDG","Paris","AF217","10h 0m"
"01:30","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E911","1h 20m"
"01:40","BA","British Airways","Heathrow","LHR","London","BA138","9h 50m"
"01:40","CX","Cathay Pacific","Hong Kong International Airport","HKG","Hong Kong","CX660","6h 0m"
"01:45","LH","Lufthansa","Munich Airport","MUC","Munich","LH767","8h 25m"
"01:55","6E","IndiGo","Jomo Kenyatta International","NBO","Nairobi","6E1853","6h 15m"
"02:00","KL","KLM","Schiphol","AMS","Amsterdam","KL878","9h 20m"
"02:05","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2812","2h 5m"
"02:30","J9","Jazeera","Kuwait International","KWI","Kuwait","J9402","4h 15m"
"02:40","KQ","Kenya Airways","Jomo Kenyatta International","NBO","Nairobi","KQ203","6h 15m"
"02:40","LH","Lufthansa","Frankfurt Airport","FRA","Frankfurt","LH757","8h 55m"
"02:40","TG","Thai Airways","Suvarnabhumi Airport","BKK","Bangkok","TG352","4h 30m"
"02:45","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E6284","1h 55m"
"02:45","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E138","2h 45m"
"02:45","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5179","1h 35m"
"02:45","KU","Kuwait Airways","Kuwait International","KWI","Kuwait","KU302","4h 10m"
"03:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6045","2h 10m"
"03:00","MS","EgyptAir","Cairo International Airport","CAI","Cairo","MS969","6h 0m"
"03:10","UL","SriLankan Airlines","Bandaranaike International","CMB","Colombo","UL142","2h 30m"
"03:55","6E","IndiGo","Phuket International Airport","HKT","Phuket","6E1071","4h 40m"
"04:00","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E632","1h 20m"
"04:05","6E","IndiGo","Chennai International","MAA","Chennai","6E136","2h 0m"
"04:05","AI","Air India","Sir Seewoosagur Ramgoolam International","MRU","Mauritius","AI2241","6h 0m"
"04:05","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET611","5h 10m"
"04:10","J2","AZAL","Heydar Aliyev International Airport","GYD","Baku","J260","5h 10m"
"04:10","QR","Qatar Airways","Hamad International Airport","DOH","Doha","QR557","3h 20m"
"04:15","VS","Virgin Atlantic","Heathrow","LHR","London","VS359","10h 15m"
"04:20","AI","Air India","King Khaled International","RUH","Riyadh","AI2213","4h 25m"
"04:25","6E","IndiGo","Hamad International Airport","DOH","Doha","6E1303","3h 35m"
"04:25","EK","Emirates","Dubai International Airport","DXB","Dubai","EK501","3h 5m"
"04:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5294","1h 55m"
"04:30","AI","Air India","Heathrow","LHR","London","AI129","10h 15m"
"04:40","6E","IndiGo","Schiphol","AMS","Amsterdam","6E21","10h 5m"
"04:40","6E","IndiGo","Suvarnabhumi Airport","BKK","Bangkok","6E1603","4h 30m"
"04:40","6E","IndiGo","Manchester Airport","MAN","Manchester","6E31","10h 30m"
"04:45","6E","IndiGo","Lucknow","LKO","Lucknow","6E643","2h 10m"
"04:45","6E","IndiGo","King Khaled International","RUH","Riyadh","6E73","4h 30m"
"04:55","G9","Air Arabia","Sharjah International","SHJ","Sharjah","G9406","3h 0m"
"05:00","6E","IndiGo","Lokpriya Gopinath Bordoloi International Airport","GAU","Guwahati","6E5243","3h 10m"
"05:00","6E","IndiGo","Goa","GOI","Goa","6E6361","1h 5m"
"05:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E656","2h 10m"
"05:00","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY207","3h 0m"
"05:00","QP","Akasa Air","Chennai International","MAA","Chennai","QP1145","2h 0m"
"05:05","AI","Air India","Cochin","COK","Kochi","AI2743","2h 0m"
"05:10","AI","Air India","Goa","GOI","Goa","AI603","1h 20m"
"05:15","6E","IndiGo","Amritsar","ATQ","Amritsar","6E6118","2h 30m"
"05:15","6E","IndiGo","Chennai International","MAA","Chennai","6E1607","2h 0m"
"05:25","OV","Salam Air","Seeb International","MCT","Muscat","OV764","2h 55m"
"05:30","IX","Air India Express","Mangalore","IXE","Mangalore","IX2392","1h 30m"
"05:30","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E6367","2h 45m"
"05:30","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2845","2h 5m"
"05:35","6E","IndiGo","Cochin","COK","Kochi","6E6701","1h 55m"
"05:35","6E","IndiGo","Aurangabad","IXU","Aurangabad","6E5081","1h 5m"
"05:40","HY","Uzbekistan Airways","Islam Karimov Tashkent International Airport","TAS","Tashkent","HY428","4h 0m"
"05:45","6E","IndiGo","Vadodara","BDQ","Vadodara","6E5059","1h 10m"
"05:45","AI","Air India","Vadodara","BDQ","Vadodara","AI2891","1h 20m"
"05:45","IX","Air India Express","Lucknow","LKO","Lucknow","IX1026","2h 20m"
"05:45","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E6362","1h 35m"
"05:45","IX","Air India Express","Indira Gandhi International Airport","DEL","Delhi","IX1050","2h 15m"
"05:50","QP","Akasa Air","Srinagar","SXR","Srinagar","QP1121","2h 45m"
"05:50","TC","Air Tanzania","Dar Es Salaam","DAR","Dar Es Salaam","TC401","6h 0m"
"05:55","AI","Air India","Dubai International Airport","DXB","Dubai","AI4215","3h 0m"
"05:55","IX","Air India Express","Birsa Munda","IXR","Ranchi","IX1237","2h 25m"
"06:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E762","2h 10m"
"06:00","AI","Air India","Rajiv Gandhi International Airport","HYD","Hyderabad","AI2625","1h 35m"
"06:05","AI","Air India","Chandigarh","IXC","Chandigarh","AI471","2h 15m"
"06:05","GF","Gulf Air","Bahrain International Airport","BAH","Bahrain","GF57","3h 55m"
"06:10","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E5144","1h 15m"
"06:10","6E","IndiGo","Bandaranaike International","CMB","Colombo","6E1185","2h 35m"
"06:10","RJ","Royal Jordanian","Queen Alia International","AMM","Amman","RJ191","5h 45m"
"06:15","6E","IndiGo","Udaipur","UDR","Udaipur","6E6794","1h 25m"
"06:15","6E","IndiGo","Chennai International","MAA","Chennai","6E5188","2h 5m"
"06:20","AI","Air India","Bhuj","BHJ","Bhuj","AI601","1h 25m"
"06:20","AI","Air India","Coimbatore","CJB","Coimbatore","AI2507","2h 0m"
"06:20","QP","Akasa Air","Phuket International Airport","HKT","Phuket","QP618","4h 50m"
"06:30","AI","Air India","Thiruvananthapuram International","TRV","Thiruvananthapuram","AI2605","2h 20m"
"06:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5296","1h 55m"
"06:30","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2928","2h 10m"
"06:35","6E","IndiGo","Soekarno Hatta International","CGK","Jakarta","6E1601","6h 45m"
"06:35","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2603","2h 0m"
"06:40","AI","Air India","Hirasar Airport","HSR","Hirasar","AI2785","1h 20m"
"06:40","AI","Air India","Chennai International","MAA","Chennai","AI2821","2h 15m"
"06:45","KQ","Kenya Airways","Jomo Kenyatta International","NBO","Nairobi","KQ205","6h 15m"
"06:50","AI","Air India","Jamnagar","JGA","Jamnagar","AI2982","1h 20m"
"06:55","AI","Air India","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","AI2771","2h 50m"
"06:55","TK","Turkish Airlines","Istanbul Airport","IST","Istanbul","TK721","6h 55m"
"07:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E301","2h 10m"
"07:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2424","2h 15m"
"07:00","QP","Akasa Air","Indira Gandhi International Airport","DEL","Delhi","QP1109","2h 20m"
"07:05","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E294","1h 25m"
"07:05","SG","SpiceJet","Srinagar","SXR","Srinagar","SG488","3h 0m"
"07:05","9I","Alliance Air","Amravati Airport","AVR","Amravati","9I633","1h 45m"
"07:15","6E","IndiGo","Raipur","RPR","Raipur","6E2387","1h 45m"
"07:15","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5246","1h 35m"
"07:20","AI","Air India","Suvarnabhumi Airport","BKK","Bangkok","AI2354","4h 45m"
"07:20","IX","Air India Express","Mopa Airport","GOX","Goa","IX2367","1h 20m"
"07:25","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E5156","1h 15m"
"07:30","6E","IndiGo","Bhopal","BHO","Bhopal","6E6128","1h 30m"
"07:30","SG","SpiceJet","Gorakhpur Airport","GOP","Gorakhpur","SG553","2h 20m"
"07:35","6E","IndiGo","Leh","IXL","Leh","6E802","2h 55m"
"07:35","IX","Air India Express","Jaipur","JAI","Jaipur","IX1280","1h 55m"
"07:40","AI","Air India","Dehradun","DED","Dehra Dun","AI2741","2h 15m"
"07:45","SG","SpiceJet","Darbhanga Airport","DBR","Darbhanga","SG115","2h 30m"
"07:45","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E5329","2h 45m"
"07:50","6E","IndiGo","Bhubaneshwar","BBI","Bhubaneswar","6E5091","2h 25m"
"07:50","6E","IndiGo","Bagdogra","IXB","Bagdogra","6E5305","3h 0m"
"07:50","6E","IndiGo","Varanasi","VNS","Varanasi","6E6543","2h 20m"
"07:55","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2851","2h 10m"
"08:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E333","2h 15m"
"08:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2428","2h 20m"
"08:00","UR","Uganda Airlines","Entebbe International","EBB","Entebbe","UR431","7h 10m"
"08:05","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5193","1h 50m"
"08:05","6E","IndiGo","Nagpur","NAG","Nagpur","6E6058","1h 25m"
"08:10","6E","IndiGo","Dubai International Airport","DXB","Dubai","6E1451","3h 0m"
"08:10","QP","Akasa Air","Ahmedabad Airport","AMD","Ahmedabad","QP1101","1h 30m"
"08:15","6E","IndiGo","Chennai International","MAA","Chennai","6E5204","2h 5m"
"08:15","SG","SpiceJet","Dubai International Airport","DXB","Dubai","SG5060","3h 25m"
"08:25","6E","IndiGo","Chandigarh","IXC","Chandigarh","6E5268","2h 15m"
"08:30","6E","IndiGo","Zia International","DAC","Dhaka","6E1115","3h 5m"
"08:30","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2970","2h 20m"
"08:40","6E","IndiGo","Dehradun","DED","Dehra Dun","6E204","2h 20m"
"08:40","6E","IndiGo","Jaipur","JAI","Jaipur","6E5281","1h 50m"
"08:40","QP","Akasa Air","Lucknow","LKO","Lucknow","QP1129","2h 20m"
"08:45","6E","IndiGo","Istanbul Airport","IST","Istanbul","6E17","7h 35m"
"08:50","6E","IndiGo","Ahmedabad Airport","AMD","Ahmedabad","6E2347","1h 25m"
"08:55","6E","IndiGo","Jamnagar","JGA","Jamnagar","6E5150","1h 15m"
"08:55","6E","IndiGo","Singapore Changi Airport","SIN","Singapore","6E1163","5h 55m"
"09:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E355","2h 15m"
"09:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI1890","2h 15m"
"09:00","QP","Akasa Air","Cochin","COK","Kochi","QP1137","2h 5m"
"09:00","AI","Air India","Chennai International","MAA","Chennai","AI2739","2h 10m"
"09:05","6E","IndiGo","Mangalore","IXE","Mangalore","6E6674","1h 30m"
"09:05","IX","Air India Express","Bhubaneshwar","BBI","Bhubaneswar","IX1283","2h 20m"
"09:05","S5","Star Air","Kolhapur","KLH","Kolhapur","S5164","1h 5m"
"09:15","6E","IndiGo","Mopa Airport","GOX","Goa","6E6057","1h 15m"
"09:15","6E","IndiGo","Patna","PAT","Patna","6E2024","2h 30m"
"09:30","BA","British Airways","Heathrow","LHR","London","BA134","10h 0m"
"09:30","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2432","2h 20m"
"09:35","6E","IndiGo","Coimbatore","CJB","Coimbatore","6E5109","1h 50m"
"09:35","6E","IndiGo","Kanpur","KNU","Kanpur","6E2034","2h 25m"
"09:50","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5092","2h 5m"
"09:50","6E","IndiGo","Chennai International","MAA","Chennai","6E5313","2h 10m"
"09:55","AI","Air India","Ahmedabad Airport","AMD","Ahmedabad","AI2847","1h 30m"
"10:00","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6052","2h 30m"
"10:00","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2863","2h 5m"
"10:05","6E","IndiGo","Kolkata Netaji Subhas Chandra Bose Intl Airport","CCU","Kolkata","6E5165","2h 45m"
"10:05","6E","IndiGo","Nagpur","NAG","Nagpur","6E2060","1h 35m"
"10:10","AI","Air India","Amritsar","ATQ","Amritsar","AI2997","2h 25m"
"10:10","IX","Air India Express","Dehradun","DED","Dehra Dun","IX2394","2h 35m"
"10:10","6E","IndiGo","Deoghar International Airport","DGH","Deoghar","6E535","2h 50m"
"10:10","6E","IndiGo","Seychelles International","SEZ","Mahe Island","6E1855","4h 30m"
"10:10","QP","Akasa Air","Darbhanga Airport","DBR","Darbhanga","QP1139","2h 55m"
"10:15","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5318","1h 25m"
"10:15","EK","Emirates","Dubai International Airport","DXB","Dubai","EK505","3h 0m"
"10:25","6E","IndiGo","Devi Ahilyabai Holkar","IDR","Indore","6E5181","1h 25m"
"10:25","AI","Air India","Srinagar","SXR","Srinagar","AI2663","2h 45m"
"10:35","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E310","2h 25m"
"10:35","AI","Air India","Udaipur","UDR","Udaipur","AI2579","1h 30m"
"10:45","6E","IndiGo","Birsa Munda","IXR","Ranchi","6E6087","2h 25m"
"10:50","6E","IndiGo","Male International Airport","MLE","Male","6E1131","2h 50m"
"10:50","AI","Air India","Jaipur","JAI","Jaipur","AI2781","2h 5m"
"10:50","AI","Air India","Jamnagar","JGA","Jamnagar","AI647","1h 35m"
"10:55","AI","Air India","Jodhpur","JDH","Jodhpur","AI645","1h 50m"
"11:00","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5217","1h 55m"
"11:05","6E","IndiGo","Jammu","IXJ","Jammu","6E5125","2h 35m"
"11:05","ET","Ethiopian","Addis Ababa Bole International Airport","ADD","Addis Ababa","ET641","5h 10m"
"11:10","6E","IndiGo","Tribhuvan International","KTM","Kathmandu","6E1157","2h 45m"
"11:15","AI","Air India","Lucknow","LKO","Lucknow","AI2491","2h 20m"
"11:20","6E","IndiGo","Goa","GOI","Goa","6E261","1h 10m"
"11:20","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2952","2h 15m"
"11:20","EY","Etihad","Zayed International Airport","AUH","Abu Dhabi","EY201","3h 10m"
"11:20","AI","Air India","Goa","GOI","Goa","AI2841","1h 20m"
"11:25","VS","Virgin Atlantic","Heathrow","LHR","London","VS355","9h 50m"
"11:30","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6827","2h 15m"
"11:30","6E","IndiGo","Allahabad","IXD","Allahabad","6E6937","1h 55m"
"11:30","IX","Air India Express","Patna","PAT","Patna","IX2398","2h 30m"
"11:40","6E","IndiGo","Chennai International","MAA","Chennai","6E6349","2h 5m"
"11:40","6E","IndiGo","Rajiv Gandhi International Airport","HYD","Hyderabad","6E5178","1h 40m"
"11:40","9I","Alliance Air","Jalgaon Airport","JLG","Jalgaon","9I601","1h 20m"
"11:45","SQ","Singapore Airlines","Singapore Changi Airport","SIN","Singapore","SQ421","5h 35m"
"12:00","AI","Air India","Kempegowda International Airport","BLR","Bengaluru","AI2632","2h 5m"
"12:00","AI","Air India","Indira Gandhi International Airport","DEL","Delhi","AI2419","2h 20m"
"12:00","IX","Air India Express","Mangalore","IXE","Mangalore","IX1027","1h 35m"
"12:05","6E","IndiGo","Hirasar Airport","HSR","Hirasar","6E2284","1h 10m"
"12:10","6E","IndiGo","Lucknow","LKO","Lucknow","6E5251","2h 10m"
"12:10","AI","Air India","Dehradun","DED","Dehra Dun","AI431","2h 10m"
"12:15","6E","IndiGo","Indira Gandhi International Airport","DEL","Delhi","6E6028","2h 10m"
"12:15","6E","IndiGo","Jodhpur","JDH","Jodhpur","6E2247","1h 35m"
"12:25","6E","IndiGo","Raipur","RPR","Raipur","6E6122","1h 50m"
"12:30","6E","IndiGo","Kempegowda International Airport","BLR","Bengaluru","6E5184","1h 55m"
"12:30","IX","Air India Express","Goa","GOI","Goa","IX1238","1h 10m"
"12:30","6E","IndiGo","Mangalore","IXE","Mangalore","6E673","1h 30m"
